ID	抽取组	道具ID	道具数量	抽取概率	次数必中组	desc
ID	group	ItemId	count	rate	hit	desc
string	int	string	int	int	int	string
1	1	03055	1	1	0	雷霸
2	1	03060	1	1	0	祈祷之杖
3	1	21006	2	5	0	攻城号角
4	1	03065	1	1	1	无上道剑
5	1	21007	1	3	1	洗练石
6	1	05063	1	1	1	百战戒指
7	1	05068	1	1	1	苍羽戒指
8	1	05073	1	1	1	伏魔戒指
9	1	07018	1	1	1	百战靴子
10	1	07023	1	1	1	苍羽靴子
11	1	07028	1	1	1	伏魔靴子
12	1	21013	5	20	1	血符碎片
13	1	21014	5	20	1	护盾碎片
14	1	20009	2	30	0	人参
15	1	21000	1	10	1	经验玉(小)
16	1	21001	1	8	1	经验玉(中)
17	1	21002	1	5	1	经验玉(大)
18	1	21003	3	30	1	副本卷轴
19	1	21004	3	30	1	BOSS卷轴
20	1	21012	3	30	0	复活石
21	1	20036	1	15	0	200VIP点数
22	1	20019	5	30	0	回城石
23	1	20018	3	30	0	净化丹
24	1	21007	5	30	0	洗练石
25	2	03055	1	5	0	雷霸
26	2	03060	1	5	0	祈祷之杖
27	2	21006	2	15	0	攻城号角
28	2	03065	1	5	1	无上道剑
29	2	21007	1	3	1	洗练石
30	2	05063	1	5	1	百战戒指
31	2	05068	1	2	1	苍羽戒指
32	2	05073	1	10	1	伏魔戒指
33	2	07018	1	10	1	百战靴子
34	2	07023	1	10	1	苍羽靴子
35	2	07028	1	10	1	伏魔靴子
36	2	21013	5	30	1	血符碎片
37	2	21014	5	30	1	护盾碎片
38	2	20009	2	30	0	人参
39	2	21000	1	10	1	经验玉(小)
40	2	21001	1	8	1	经验玉(中)
41	2	21002	1	5	1	经验玉(大)
42	2	21003	3	35	1	副本卷轴
43	2	21004	3	35	1	BOSS卷轴
44	2	21012	3	30	0	复活石
45	2	20036	99	30	0	200VIP点数
46	2	20019	99	30	0	回城石
47	2	20018	3	30	0	净化丹
48	2	21007	5	40	0	洗练石
49	3	03055	1	50	0	雷霸
50	3	03060	1	50	0	祈祷之杖
51	3	21006	2	50	0	攻城号角
52	3	03065	1	50	1	无上道剑
53	3	21007	1	30	1	洗练石
54	3	05063	1	50	1	百战戒指
55	3	05068	1	50	1	苍羽戒指
56	3	05073	1	50	1	伏魔戒指
57	3	07018	1	50	1	百战靴子
58	3	07023	1	50	1	苍羽靴子
59	3	07028	1	50	1	伏魔靴子
60	3	21013	5	40	1	血符碎片
61	3	21014	5	40	1	护盾碎片
62	3	20009	2	5	0	人参
63	3	21000	1	40	1	经验玉(小)
64	3	21001	1	50	1	经验玉(中)
65	3	21002	1	60	1	经验玉(大)
66	3	21003	3	30	1	副本卷轴
67	3	21004	3	30	1	BOSS卷轴
68	3	21012	3	20	0	复活石
69	3	20036	99	30	0	200VIP点数
70	3	20019	99	20	0	回城石
71	3	20018	3	20	0	净化丹
72	3	21007	5	20	0	洗练石
