ID	种类	限制值	金钱	元宝	道具IDs	道具数量
ID	type	args	bindgold	bindmoney	items	counts
string	int	int	int	int	string[]	int[]
101	1	10	10000	10	21007,21004	2,2
102	1	20	20000	30	21007,21004	2,2
103	1	30	30000	50	21007,21004	2,2
104	1	35	40000	80	21007,21004	2,2
105	1	40	50000	100	21007,21004	2,2
106	1	45	60000	120	21007,21004	5,3
107	1	50	80000	150	21007,21004	5,3
108	1	55	100000	150	21007,21004	5,3
109	1	60	150000	200	21007,21004	5,3
110	1	65	200000	250	21007,21004	5,3
111	1	70	250000	300	21007,21004	8,5
112	1	75	300000	350	21007,21004	8,5
113	1	80	350000	400	21007,21004	8,5
114	1	85	400000	450	21007,21004	8,5
115	1	90	450000	500	21007,21004	10,10
116	1	95	500000	600	21007,21004	10,10
117	1	100	1000000	800	21007,21004	10,10
201	2	1	5000	50	21000	1
202	2	2	10000	50	21000	1
203	2	3	30000	50	21000	1
204	2	4	40000	50	21000	1
205	2	5	50000	50	21000	1
206	2	6	60000	50	21000	1
207	2	7	70000	50	21001	1
208	2	8	80000	50	21001	1
209	2	9	90000	50	21001	1
210	2	10	100000	50	21001	1
211	2	11	120000	50	21001	1
212	2	12	140000	50	21001	1
213	2	13	160000	50	21001	1
214	2	14	180000	50	21001	1
215	2	15	200000	50	21002	1
216	2	16	220000	50	21002	1
217	2	17	240000	50	21002	1
218	2	18	260000	50	21002	1
219	2	19	280000	50	21002	1
220	2	20	300000	50	21002	1
221	2	21	320000	50	21002	1
222	2	22	340000	50	21002	1
223	2	23	360000	50	21002	1
224	2	24	380000	50	21002	1
225	2	25	400000	50	21002	1
226	2	26	420000	50	21002	1
227	2	27	440000	50	21002	1
228	2	28	460000	50	21002	1
229	2	29	480000	50	21002	1
230	2	30	500000	50	21002	1
300	3	1	5000	20	20036,21003	1,2
301	3	2	20000	20	20036,21003	1,2
302	3	3	35000	50	20036,21003	1,2
303	3	4	50000	50	20036,21003	1,3
304	3	5	70000	80	20036,21003	1,3
305	3	6	100000	80	20036,21003	1,3
306	3	7	150000	100	20036,21003	2,5
400	4	50	0	5		
401	4	100	0	5	21007	2
402	4	150	0	10	21007,21004	2,1
403	4	200	0	10	21003,21004	1,2
404	4	250	0	20	21003,21004	2,2
405	4	300	0	20	21004,21000	2,2
