ID	组ID	说明	影响属性	最小值	最大值	抽中概率	编辑器目录
ID	groupID	desc	Attr	minvalue	maxvalue	rate	editdir
string	int	string	PAttr	int	int	int	string
1	1	物攻下限	ATK	1	7	5	1级武器
2	1	物攻上限	ATK2	1	26	5	1级武器
3	1	魔攻下限	MATK	1	7	5	1级武器
4	1	魔攻上限	MATK2	1	26	5	1级武器
5	1	道攻下限	SATK	1	7	5	1级武器
6	1	道攻上限	SATK2	1	26	5	1级武器
7	1	魔法值	MMP	1	5	15	1级武器
8	1	命中	DODGE	1	2	5	1级武器
9	1	暴击	CRI	1	1	1	1级武器
10	2	物攻下限	ATK	1	12	5	20级武器
11	2	物攻上限	ATK2	1	55	5	20级武器
12	2	魔攻下限	MATK	1	12	5	20级武器
13	2	魔攻上限	MATK2	1	55	5	20级武器
14	2	道攻下限	SATK	1	12	5	20级武器
15	2	道攻上限	SATK2	1	55	5	20级武器
16	2	魔法值	MMP	2	10	15	20级武器
17	2	命中	DODGE	1	3	5	20级武器
18	2	暴击	CRI	1	3	1	20级武器
19	3	物攻下限	ATK	1	20	5	40级武器
20	3	物攻上限	ATK2	1	80	5	40级武器
21	3	魔攻下限	MATK	1	20	5	40级武器
22	3	魔攻上限	MATK2	1	80	5	40级武器
23	3	道攻下限	SATK	1	20	5	40级武器
24	3	道攻上限	SATK2	1	80	5	40级武器
25	3	魔法值	MMP	5	15	15	40级武器
26	3	命中	DODGE	2	5	5	40级武器
27	3	暴击	CRI	1	4	1	40级武器
28	4	物攻下限	ATK	1	25	5	60级武器
29	4	物攻上限	ATK2	1	105	5	60级武器
30	4	魔攻下限	MATK	1	25	5	60级武器
31	4	魔攻上限	MATK2	1	105	5	60级武器
32	4	道攻下限	SATK	1	25	5	60级武器
33	4	道攻上限	SATK2	1	105	5	60级武器
34	4	魔法值	MMP	5	20	15	60级武器
35	4	命中	DODGE	2	6	5	60级武器
36	4	暴击	CRI	2	6	1	60级武器
37	5	物攻下限	ATK	1	30	5	70级武器
38	5	物攻上限	ATK2	1	130	5	70级武器
39	5	魔攻下限	MATK	1	30	5	70级武器
40	5	魔攻上限	MATK2	1	130	5	70级武器
41	5	道攻下限	SATK	1	30	5	70级武器
42	5	道攻上限	SATK2	1	130	5	70级武器
43	5	魔法值	MMP	5	25	15	70级武器
44	5	命中	DODGE	2	8	5	70级武器
45	5	暴击	CRI	2	7	1	70级武器
46	6	物攻下限	ATK	1	40	5	80级武器
47	6	物攻上限	ATK2	1	155	5	80级武器
48	6	魔攻下限	MATK	1	40	5	80级武器
49	6	魔攻上限	MATK2	1	155	5	80级武器
50	6	道攻下限	SATK	1	40	5	80级武器
51	6	道攻上限	SATK2	1	155	5	80级武器
52	6	魔法值	MMP	10	30	15	80级武器
53	6	命中	DODGE	3	10	5	80级武器
54	6	暴击	CRI	2	8	1	80级武器
55	7	物攻下限	ATK	1	50	5	90级武器
56	7	物攻上限	ATK2	1	210	5	90级武器
57	7	魔攻下限	MATK	1	50	5	90级武器
58	7	魔攻上限	MATK2	1	210	5	90级武器
59	7	道攻下限	SATK	1	50	5	90级武器
60	7	道攻上限	SATK2	1	210	5	90级武器
61	7	魔法值	MMP	10	40	15	90级武器
62	7	命中	DODGE	3	13	5	90级武器
63	7	暴击	CRI	2	11	1	90级武器
64	8	物攻下限	ATK	1	65	5	100级武器
65	8	物攻上限	ATK2	1	265	5	100级武器
66	8	魔攻下限	MATK	1	65	5	100级武器
67	8	魔攻上限	MATK2	1	265	5	100级武器
68	8	道攻下限	SATK	1	65	5	100级武器
69	8	道攻上限	SATK2	1	265	5	100级武器
70	8	魔法值	MMP	10	50	15	100级武器
71	8	命中	DODGE	3	16	5	100级武器
72	8	暴击	CRI	2	14	1	100级武器
73	9	物防下限	DEF	1	2	3	1级帽子
74	9	物防上限	DEF2	1	4	3	1级帽子
75	9	魔防下限	MDEF	1	2	3	1级帽子
76	9	魔防上限	MDEF2	1	3	3	1级帽子
77	9	生命值	MHP	1	38	3	1级帽子
78	9	魔法值	MMP	1	8	3	1级帽子
79	10	物防下限	DEF	1	2	3	20级帽子
80	10	物防上限	DEF2	1	7	3	20级帽子
81	10	魔防下限	MDEF	1	2	3	20级帽子
82	10	魔防上限	MDEF2	1	6	3	20级帽子
83	10	生命值	MHP	1	75	3	20级帽子
84	10	魔法值	MMP	1	15	3	20级帽子
85	11	物防下限	DEF	1	2	3	40级帽子
86	11	物防上限	DEF2	1	11	3	40级帽子
87	11	魔防下限	MDEF	1	2	3	40级帽子
88	11	魔防上限	MDEF2	1	11	3	40级帽子
89	11	生命值	MHP	1	110	3	40级帽子
90	11	魔法值	MMP	1	25	3	40级帽子
91	12	物防下限	DEF	1	2	3	60级帽子
92	12	物防上限	DEF2	1	14	3	60级帽子
93	12	魔防下限	MDEF	1	2	3	60级帽子
94	12	魔防上限	MDEF2	1	13	3	60级帽子
95	12	生命值	MHP	1	150	3	60级帽子
96	12	魔法值	MMP	1	30	3	60级帽子
97	13	物防下限	DEF	1	2	3	70级帽子
98	13	物防上限	DEF2	1	18	3	70级帽子
99	13	魔防下限	MDEF	1	2	3	70级帽子
100	13	魔防上限	MDEF2	1	16	3	70级帽子
101	13	生命值	MHP	1	188	3	70级帽子
102	13	魔法值	MMP	1	38	3	70级帽子
103	14	物防下限	DEF	1	3	3	80级帽子
104	14	物防上限	DEF2	1	22	3	80级帽子
105	14	魔防下限	MDEF	1	3	3	80级帽子
106	14	魔防上限	MDEF2	1	19	3	80级帽子
107	14	生命值	MHP	1	225	3	80级帽子
108	14	魔法值	MMP	1	45	3	80级帽子
109	15	物防下限	DEF	1	4	3	90级帽子
110	15	物防上限	DEF2	1	29	3	90级帽子
111	15	魔防下限	MDEF	1	4	3	90级帽子
112	15	魔防上限	MDEF2	1	26	3	90级帽子
113	15	生命值	MHP	1	300	3	90级帽子
114	15	魔法值	MMP	1	60	3	90级帽子
115	16	物防下限	DEF	1	5	3	100级帽子
116	16	物防上限	DEF2	1	36	3	100级帽子
117	16	魔防下限	MDEF	1	5	3	100级帽子
118	16	魔防上限	MDEF2	1	32	3	100级帽子
119	16	生命值	MHP	1	375	3	100级帽子
120	16	魔法值	MMP	1	75	3	100级帽子
121	17	物防下限	DEF	1	2	3	1级腰带
122	17	物防上限	DEF2	1	2	3	1级腰带
123	17	魔防下限	MDEF	1	2	3	1级腰带
124	17	魔防上限	MDEF2	1	2	3	1级腰带
125	17	生命值	MHP	1	25	3	1级腰带
126	17	魔法值	MMP	1	5	3	1级腰带
127	17	闪避	Speed	1	2	1	1级腰带
128	18	物防下限	DEF	1	2	3	20级腰带
129	18	物防上限	DEF2	1	5	3	20级腰带
130	18	魔防下限	MDEF	1	2	3	20级腰带
131	18	魔防上限	MDEF2	1	4	3	20级腰带
132	18	生命值	MHP	1	50	3	20级腰带
133	18	魔法值	MMP	1	10	3	20级腰带
134	18	闪避	Speed	1	3	1	20级腰带
135	19	物防下限	DEF	1	2	3	40级腰带
136	19	物防上限	DEF2	1	7	3	40级腰带
137	19	魔防下限	MDEF	1	2	3	40级腰带
138	19	魔防上限	MDEF2	1	6	3	40级腰带
139	19	生命值	MHP	1	75	3	40级腰带
140	19	魔法值	MMP	1	15	3	40级腰带
141	19	闪避	Speed	1	4	1	40级腰带
142	20	物防下限	DEF	1	2	3	60级腰带
