道具ID	下一级装备ID	需求材料种类ID	需求数量	当前等级
id	nextID	matID	matcount	lev
string	string	string	int	int
10000	10001	21013	10	0
10001	10002	21013	20	1
10002	10003	21013	50	2
10003	10004	21013	100	3
10004	10005	21013	200	4
10005	10006	21013	300	5
10006	10007	21013	400	6
10007	10008	21013	500	7
10008	10009	21013	600	8
10009	10010	21013	700	9
10010	0	21013	800	10
10011	10012	21013	10	0
10012	10013	21013	20	1
10013	10014	21013	50	2
10014	10015	21013	100	3
10015	10016	21013	200	4
10016	10017	21013	300	5
10017	10018	21013	400	6
10018	10019	21013	500	7
10019	10020	21013	600	8
10020	10021	21013	700	9
10021	0	21013	800	10
10022	10023	21013	10	0
10023	10024	21013	20	1
10024	10025	21013	50	2
10025	10026	21013	100	3
10026	10027	21013	200	4
10027	10028	21013	300	5
10028	10029	21013	400	6
10029	10030	21013	500	7
10030	10031	21013	600	8
10031	10032	21013	700	9
10032	0	21013	800	10
11000	11001	21014	10	0
11001	11002	21014	20	1
11002	11003	21014	50	2
11003	11004	21014	100	3
11004	11005	21014	200	4
11005	11006	21014	300	5
11006	11007	21014	400	6
11007	11008	21014	500	7
11008	11009	21014	600	8
11009	11010	21014	700	9
11010	0	21014	800	10
11011	11012	21014	10	0
11012	11013	21014	20	1
11013	11014	21014	50	2
11014	11015	21014	100	3
11015	11016	21014	200	4
11016	11017	21014	300	5
11017	11018	21014	400	6
11018	11019	21014	500	7
11019	11020	21014	600	8
11020	11021	21014	700	9
11021	0	21014	800	10
11022	11023	21014	10	0
11023	11024	21014	20	1
11024	11025	21014	50	2
11025	11026	21014	100	3
11026	11027	21014	200	4
11027	11028	21014	300	5
11028	11029	21014	400	6
11029	11030	21014	500	7
11030	11031	21014	600	8
11031	11032	21014	700	9
11032	0	21014	800	10
