角色职业等级	升级经验	HP上限	MP上限	物攻最小	物攻最大	魔攻最小	魔攻最大	道攻最小	道攻最大	物防最小	物防最大	魔防最小	魔防最大	准确	闪避	暴击	韧性	幸运									
id	nextexp	MHP	MMP	ATK	ATK2	MATK	MATK2	SATK	SATK2	DEF	DEF2	MDEF	MDEF2	HIT	DODGE	CRI	tenacity	LUCKY									
string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int									
10001	80	462	30	10	40	0	2	0	2	2	20	0	5	1	0	1	1	0									
10002	100	492	39	11	43	0	2	0	2	2	22	0	5	1	0	1	1	0									
10003	150	522	48	12	46	0	2	0	2	2	24	0	6	1	0	1	1	0									
10004	240	552	57	13	49	0	2	0	2	2	26	1	6	1	0	1	1	0									
10005	400	582	66	14	52	0	3	0	3	3	28	1	7	1	0	1	1	0									
10006	550	612	75	15	55	0	3	0	3	3	30	1	7	1	0	1	1	0									
10007	800	642	84	16	58	0	3	0	3	3	32	1	8	1	0	1	1	0									
10008	950	672	93	17	61	0	3	0	3	3	34	1	8	1	0	1	1	0									
10009	1200	702	102	18	64	1	4	1	4	3	36	1	9	1	0	1	1	0									
10010	2300	732	111	19	67	1	4	1	4	3	38	1	9	1	0	1	1	0									
10011	2400	762	120	20	70	1	4	1	4	4	40	1	10	1	0	1	1	0									
10012	2800	792	129	21	73	1	4	1	4	4	42	1	10	1	0	1	1	0									
10013	2900	822	138	22	76	1	5	1	5	4	44	1	11	1	0	1	1	0									
10014	3000	852	147	23	79	1	5	1	5	4	46	2	11	1	0	1	1	0									
10015	3100	882	156	24	82	1	5	1	5	4	48	2	12	1	0	1	1	0									
10016	3200	912	165	25	85	1	5	1	5	4	50	2	12	1	0	1	1	0									
10017	3300	942	174	26	88	1	6	1	6	4	52	2	13	1	0	1	1	0									
10018	3500	972	183	27	91	1	6	1	6	5	54	2	13	1	0	1	1	0									
10019	4000	1002	192	28	94	1	6	1	6	5	56	2	14	1	0	1	1	0									
10020	7600	1047	201	29	98	1	6	1	6	5	59	2	14	1	0	1	1	0									
10021	8000	1092	210	30	102	1	7	1	7	5	62	2	15	1	0	1	1	0									
10022	8400	1137	219	31	106	1	7	1	7	5	65	2	15	1	0	1	1	0									
10023	8800	1182	228	32	110	2	7	2	7	6	68	2	16	1	0	1	1	0									
10024	9000	1227	237	33	114	2	7	2	7	6	71	3	16	1	0	1	1	0									
10025	10000	1272	246	34	118	2	8	2	8	6	74	3	17	1	0	1	1	0									
10026	11000	1317	255	35	122	2	8	2	8	6	77	3	17	1	0	1	1	0									
10027	12000	1362	264	36	126	2	8	2	8	6	80	3	18	1	0	1	1	0									
10028	14000	1407	273	37	130	2	9	2	9	7	83	3	18	1	0	1	1	0									
10029	16000	1452	282	38	134	2	9	2	9	7	86	3	19	1	0	1	1	0									
10030	18000	1497	291	39	138	2	9	2	9	7	89	3	19	1	0	1	1	0									
10031	22000	1542	300	40	142	2	9	2	9	7	92	3	20	1	0	1	1	0									
10032	26000	1587	309	41	146	2	10	2	10	7	95	3	20	1	0	1	1	0									
10033	30000	1632	318	42	150	2	10	2	10	8	98	3	21	1	0	1	1	0									
10034	35000	1677	327	43	154	2	10	2	10	8	101	4	21	1	0	1	1	0									
10035	40000	1722	336	44	158	2	10	2	10	8	104	4	22	1	0	1	1	0									
10036	45000	1767	345	45	162	2	11	2	11	8	107	4	22	1	0	1	1	0									
10037	49000	1812	354	46	166	3	11	3	11	8	110	4	23	1	0	1	1	0									
10038	53000	1857	363	47	170	3	11	3	11	9	113	4	23	1	0	1	1	0									
10039	57000	1902	372	48	174	3	11	3	11	9	116	4	24	1	0	1	1	0									
10040	60000	1962	381	49	178	3	12	3	12	9	119	4	24	1	0	1	1	0									
10041	65000	2022	390	50	182	3	12	3	12	9	122	4	25	1	0	1	1	0									
10042	70000	2082	399	51	186	3	12	3	12	10	125	4	25	1	0	1	1	0									
