编号	名称	图标	品质	内观	性别	是否可以批量使用	职业限制	等级限制	物品等级	拾取分类	羽化等级	物品类别	部位	耐久度	出售价格	叠加上限	持有类型	是否可丢弃	是否可销毁	力量需求	悟性需求	身法需求	根骨需求	经脉需求	CD时间	CD类别	掉落模型ID	模型ID	物攻下限	物攻上限	魔攻下限	魔攻上限	道攻下限	道攻上限	物防下限	物防上限	魔防下限	魔防上限	物免	魔免	命中	暴击	闪避	生命值	魔法值	默认值	随机属性组	目标类型	合法对象	使用成功率	附加功能ID	功能参数	功能数据	描述	掉落说明	使用说明	编辑器目录
id	name	icon	Quality	looks	Sex	BatchUse	JOB	needlev	itemlevel	pickType	Ntype	itemtype	equippos	maxdur	sellprice	stacks	holdAttr	canDiscard	canDestroy	needSTR	needINTE	needAGI	needVIT	needSPI	cdtime	cdtype	dropmodelid	modelid	ATK	ATK2	MATK	MATK2	SATK	SATK2	DEF	DEF2	MDEF	MDEF2	DRDrate	MDRDrate	DODGE	CRI	Speed	MHP	MMP	value	RandAttrGroup	TargetType	validTarget	sucRate	funcid	funcparams	funcdatas	desc	dropdesc	help	editdir
string	string	string	int	int	int	bool	int	int	int	int	int	int	int	int	int	int	int	bool	bool	int	int	int	int	int	int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	float	int	string[]	int[]	string	string	string	string
#衣服																																																									
02000	新兵护甲(男)	items/11002	0	11002	0	0	0	1	1	1	0	1	2	8000	100	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	25	0	0	0	0						
02001	新兵护甲(男)	items/11002	1	11002	0	0	0	1	1	2	0	1	2	8000	100	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	25	0	0	0	0						
02002	新兵护甲(男)	items/11002	2	11002	0	0	0	1	1	3	0	1	2	8000	100	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	25	0	0	0	0						
02003	新兵护甲(男)	items/11002	3	11002	0	0	0	1	1	4	0	1	2	8000	100	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	25	0	0	0	0						
02004	新兵护甲(男)	items/11002	4	11002	0	0	0	1	1	5	0	1	2	8000	100	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	25	0	0	0	0						
02005	新兵护甲(女)	items/11003	0	11003	1	0	0	1	1	1	0	1	2	8000	100	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	25	0	0	0	0						
02006	新兵护甲(女)	items/11003	1	11003	1	0	0	1	1	2	0	1	2	8000	100	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	25	0	0	0	0						
02007	新兵护甲(女)	items/11003	2	11003	1	0	0	1	1	3	0	1	2	8000	100	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	25	0	0	0	0						
02008	新兵护甲(女)	items/11003	3	11003	1	0	0	1	1	4	0	1	2	8000	100	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	25	0	0	0	0						
02009	新兵护甲(女)	items/11003	4	11003	1	0	0	1	1	5	0	1	2	8000	100	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	10	0	0	25	0	0	0	0						
02010	老兵护甲(男)	items/11004	0	11004	0	0	0	10	10	1	0	1	2	18000	150	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	20	0	0	25	0	0	0	0						
02011	老兵护甲(男)	items/11004	1	11004	0	0	0	10	10	2	0	1	2	18000	150	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	20	0	0	25	0	0	0	0						
02012	老兵护甲(男)	items/11004	2	11004	0	0	0	10	10	3	0	1	2	18000	150	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	20	0	0	25	0	0	0	0						
02013	老兵护甲(男)	items/11004	3	11004	0	0	0	10	10	4	0	1	2	18000	150	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	20	0	0	25	0	0	0	0						
02014	老兵护甲(男)	items/11004	4	11004	0	0	0	10	10	5	0	1	2	18000	150	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	20	0	0	25	0	0	0	0						
02015	老兵护甲(女)	items/11005	0	11005	1	0	0	10	10	1	0	1	2	18000	150	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	20	0	0	25	0	0	0	0						
02016	老兵护甲(女)	items/11005	1	11005	1	0	0	10	10	2	0	1	2	18000	150	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	20	0	0	25	0	0	0	0						
02017	老兵护甲(女)	items/11005	2	11005	1	0	0	10	10	3	0	1	2	18000	150	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	20	0	0	25	0	0	0	0						
02018	老兵护甲(女)	items/11005	3	11005	1	0	0	10	10	4	0	1	2	18000	150	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	20	0	0	25	0	0	0	0						
