编号ID	关卡名称	地图图标	地图说明	地图ID	类型	PK模式	普通每日进入次数	怪物复活	携带任务	携带任务跳转	下线规则	是否可以原地复活	UI显示类型	复活地点	角色等级下限	角色等级上限	消耗货币类型	货币数量	需求道具	需求数量	是否有帮派	需要组队	地图Buff	每次限制时间	地图个数	脚本	人数上限	限制技能	路径0	路径1	路径2	路径3	路径4	路径5	地图标志怪物
id	name	mapTB	mapTips	mapid	type	pkflag	enterTime	monsterRevive	needTask	mapJump	offline	resurrection	UIType	reviveLocation	minLex	maxLex	goldType	currencyCount	needItem	itemCount	needGuild	needGroup	buff	everyTime	count	script	maxplayer	s	path0	path1	path2	path3	path4	path5	flagMob
string	string	string	string	string	int	int	int	bool	string	string	bool	bool	int	string[]	int	int	string	int	string	int	bool	bool	string[]	int	int	string	int	string	int[]	int[]	int[]	int[]	int[]	int[]	string
1	新手村			1.mpt	1	4	0	1			0	0	0	1,fuhuodian	1	100		0		0	0	0		0	1		100								
2	雪域			2.mpt	1	4	0	1			0	0	0	13,fuhuodian	80	100		0		0	0	0		0	1		100								
12	月藏岛			12.mpt	1	4	0	1			0	0	0	12,fuhuodian	40	100		0		0	0	0		0	1		100								
13	沙盟			13.mpt	1	4	0	1			0	0	0	13,fuhuodian	20	100		0		0	0	0		0	1		100								
14	沙巴克			14.mpt	8	4	0	1			1	0	0	13,fuhuodian	60	100		0		0	0	0		0	1	shabake	500								
15	皇宫			15.mpt	8	4	0	1	1000160	205	1	0	0	13,fuhuodian	60	100		0		0	0	0		0	1	huanggong	500								
16	加古城			16.mpt	1	4	0	1			0	0	0	16,fuhuodian	10	100		0		0	0	0		0	1		100								
17	沙盟北部			17.mpt	1	4	0	1			0	0	0	16,fuhuodian	30	100		0		0	0	0		0	1		100								
18	蛮荒之地			18.mpt	1	4	0	1			0	0	0	18,fuhuodian	50	100		0		0	0	0		0	1		100								
2011	经验副本	exp		201.mpt	1001	4	3	0			1	0	1	13,fuhuodian	40	63		0	21003	1	0	0		300	10	jingyanfuben	1								
2012	经验副本	exp		201.mpt	1001	4	3	0			1	0	1	13,fuhuodian	64	71		0	21003	1	0	0		300	10	jingyanfuben	1								
2013	经验副本	exp		201.mpt	1001	4	3	0			1	0	1	13,fuhuodian	72	74		0	21003	1	0	0		300	10	jingyanfuben	1								
2014	经验副本	exp		201.mpt	1001	4	3	0			1	0	1	13,fuhuodian	75	77		0	21003	1	0	0		300	10	jingyanfuben	1								
2015	经验副本	exp		201.mpt	1001	4	3	0			1	0	1	13,fuhuodian	78	84		0	21003	1	0	0		300	10	jingyanfuben	1								
2016	经验副本	exp		201.mpt	1001	4	3	0			1	0	1	13,fuhuodian	85	88		0	21003	1	0	0		300	10	jingyanfuben	1								
2017	经验副本	exp		201.mpt	1001	4	3	0			1	0	1	13,fuhuodian	89	94		0	21003	1	0	0		300	10	jingyanfuben	1								
2018	经验副本	exp		201.mpt	1001	4	3	0			1	0	1	13,fuhuodian	95	98		0	21003	1	0	0		300	10	jingyanfuben	1								
2019	经验副本	exp		201.mpt	1001	4	3	0			1	0	1	13,fuhuodian	99	100		0	21003	1	0	0		300	10	jingyanfuben	1								
2021	金币副本	gold		202.mpt	1002	4	3	0			1	0	1	13,fuhuodian	20	30		0	21003	1	0	0		300	10	jinbifuben	1								
2022	金币副本	gold		202.mpt	1002	4	3	0			1	0	1	13,fuhuodian	31	40		0	21003	1	0	0		300	10	jinbifuben	1								
2023	金币副本	gold		202.mpt	1002	4	3	0			1	0	1	13,fuhuodian	41	100		0	21003	1	0	0		300	10	jinbifuben	1								
2031	白猪王			203.mpt	5	4	3	0			1	0	1	13,fuhuodian	10	100		0	21003	1	0	0		300	10	baizhuwang	1								164
2032	牛魔王			203.mpt	5	4	3	0			1	0	1	13,fuhuodian	20	100		0	21003	1	0	0		300	10	baizhuwang	1								150
2033	骷髅王			203.mpt	5	4	3	0			1	0	1	13,fuhuodian	30	100		0	21003	1	0	0		300	10	baizhuwang	1								191
