ID	怪物	游戏内名称	Appr	文件名	起始帧	Race	Img	方向数量	出现	待机	走	攻击	受伤	死亡	图片	音效	怪物显示后问题	state	原来的图	适合技能	施法动作描述																	
ID	name	GameName	Appr	dir	startframe	Race	Img	dircount	appear	stand	walk	atk	hited	die	pic	sndeffect	question	state	oldpic	fitskill	desc																	
string	string	string	int	string	int	string	string	int	int	int	int	int	int	int	string	string	string	string	string	string	string																	
1	公鸡	小鸡	1	mon1	350	51	61	8	0	4	8	8	2	10		无111		完成																				
2	鹿	小鹿	2	mon1	700	51	61	8	0	4	8	8	2	10		有121		完成																				
3	马	西域良马	3	mon1	1050	45	20	8	0	4	8	0	2	10		有		完成																				
4	召唤骷髅	召唤骷髅	4	mon1	1400	56	26	8	0	4	8	6	2	10		有	动作最后有个十针的动画，是出生前播放的。起始帧1740-1749	完成																				
5	工蚁	工蚁	5	mon1	1750	51	60	8	0	4	8	6	2	10		有		完成																				
6		半兽督军1	6	mon1	2100	51	61	8	0	4	8	8	2	10			怪物中心坐标，血条位置。完成。																					
7	半兽人勇士	半兽人战士	7	mon1	2450	51	61	8	0	4	8	8	2	10		有		完成		魔焰之怒	类似于战士释放魔焰之怒的动作(与战士攻击动作6帧不符，攻击动作符合技能）																	
8	半兽人（级别稍低）	半兽人勇士	8	mon1	2800	51	60	8	0	4	8	6	2	10		有		完成																				
9	蟾蜍	蟾蜍	9	mon1	3150	51	60	8	0	4	8	6	2	10		有		完成																				
10	毒蜂	毒蜂	10	mon1	3500	51	20	8	0	4	6	6	2	10		有		完成																				
11	毒蝎	大尾蝎	11	mon1	3850	51	20	8	0	4	6	6	2	10		有		完成																				
12	花斑蛇)	黄金蟒	12	mon1	4200	51	60	8	0	4	8	6	2	10		有		完成																				
13	赌圣（暂时	赌圣（暂时）	13	mon1	4550	51	60	8	0	4	8	6	2	10			怪物中心坐标，血条位置。完成。		变大																			
14	大老鼠	硕鼠	14	mon1	4900	51	20	8	0	4	6	6	2	10		有		完成																				
15	蚂蚁战士	蚂蚁战士	15	mon1	5250	51	60	8	0	4	8	6	2	10																								
16	黄狼	沙狼	16	mon1	5600	51	60	8	0	4	8	6	2	10		有		完成																				
17	半兽人战士	半兽人	17	mon1	5950	51	60	8	0	4	8	6	2	10		有	怪物中心坐标，血条位置。完成。	完成		鬼刃	类似于战士释放鬼刃的动作																	
18	野猪	多牙猪	18	mon1	6300	51	61	8	0	4	8	8	2	10		有		完成																				
19	长矛骷髅兵	魔枪骷1	19	mon1	6650	51	60	8	0	4	8	6	2	10		有	最好能设置隔一格进行攻击																					
20	白骨尸魔	钢铁魔骷	20	mon2	0	51	61	8	0	4	8	8	2	10		有		完成		血月弯刀	手里武器横向挥舞（与战士攻击动作6帧不符，需制作技能攻击动作）																	
21	变异骷髅	不死铁卫1	21	mon2	350	51	60	8	0	4	8	6	2	10		有	道士召唤骷髅，后面跟着十针出生动画。	完成																				
22	骷髅精灵	不死精灵1	22	mon2	700	51	61	8	0	4	8	8	2	10		有																						
23	变异精怪	鼠儒	23	mon2	1050	51	20	8	0	4	6	6	2	10		暂用爬行僵尸音效		完成																				
24	骷髅飞斧手	狂斧骷1	24	mon2	1400	51	60	8	0	4	8	6	2	10																								
25	骷髅锤兵	骷髅碎骨兵	25	mon2	1750	51	60	8	0	4	8	6	2	10		有																						
26	骷髅战将	骷髅战将	26	mon2	2100	51	60	8	0	4	8	6	2	10		有																						
27	骷髅战士	重装骷髅	27	mon2	2450	51	60	8	0	4	8	6	2	10		有																						
28	红蛇	红蛇	28	mon2	2800	51	60	8	0	4	8	6	2	10		有		完成（攻击缓慢）																				
29	虎卫	猛虎斗士	29	mon2	3150	51	61	8	0	4	8	8	2	10		有		完成																				
30	羽蛇	羽蛇王	30	mon2	3500	51	61	8	0	4	8	8	2	10		有		完成		魔焰之怒	类似于战士释放魔焰之怒的动作（与战士攻击动作6帧不符，攻击动作与技能匹配度一般）																	
31	羽蛇初形态	羽蛇	31	mon2	3850	51	61	8	0	4	8	8	2	10		有		完成		魔焰球	从嘴里吐出来																	
32	猪卫	猪卫	32	mon2	4200	51	61	8	0	4	8	8	2	10		有		完成		半月弯刀	本身攻击动作（与战士攻击动作6帧不符，攻击动作与技能匹配度高）																	
33	酒客	熊猫刺客1	33	mon2	4550	51	60	8	0	4	8	6	2	10		有		完成																				
34	黑色恶蛆	变异潮虫	34	mon2	4900	51	20	8	0	4	6	6	2	10		有	怪物中心坐标，血条位置。完成。	完成																				
35	尸体大王	石墓尸王	35	mon2	5250	51	66	8	0	4	8	10	2	10		有		完成																				
36	酒奴	熊猫巨人1	36	mon2	5600	51	66	8	0	4	8	10	2	10		暂用血僵尸		完成																				
37	血僵尸	血僵尸	37	mon2	5950	51	61	8	0	4	8	8	2	10		有		完成																				
38	蜘蛛07	巨钳蛛	38	mon2	6300	51	20	8	0	4	6	6	2	10		有		完成																				
39	符文石怪	符文石怪1	39	mon2	6650	51	61	8	0	4	8	8	2	10		无		完成																				
40	大刀	大刀护卫	40	mon3	0	18	65	8	0	4	0	10	0	0		暂用羽蛇王攻击		完成																				
41	小贤	小贤	41	mon3	350	45	61	8	0	4	8	8	2	10		无																						
42	阿呆	阿呆	42	mon3	700	45	61	8	0	4	8	8	2	10		无																						
43	蛇蝎02	蝎蛇	43	mon3	1050	51	61	8	0	4	8	8	2	10		有		完成																				
44	蜘蛛03	石纹蛛	44	mon3	1400	59	34 (61)	8	0	4	6	6	2	10		有		完成（把攻击动作多余的后两针删掉）																				
45	蜘蛛04	沙蛛	45	mon3	1750	59	34	8	0	4	6	6	2	10		有		完成																				
46	蜘蛛05	黑藏蛛	46	mon3	2100	60	33	8	0	4	6	6	2	10		有	死亡时有可能出现红斑蛛的形象（程序问题）img=33，死亡播放20帧的原因	完成																				
47	蜘蛛09	红斑蛛	47	mon3	2450	59	34	8	0	4	6	6	2	10		有		完成																				
48	和尚僵尸	邪道僧	48	mon3	2800	51	61	8	0	4	8	8	2	10		有		完成																				
49	化蛇	娜迦	49	mon3	3150	51	61	8	0	4	8	8	2	10		暂用别的怪物的声音		完成	变大	怒雷闪	武器向上一举																	
50	赤月恶魔	赤月恶魔	50	mon3	3500	51	20	1	0	8	0	8	2	10		有		完成																				
0	赤月恶魔攻击地刺	赤月恶魔攻击地刺	0	mon3	3780	0	0	1	0	8	0	0	0	0																								
51	蜘蛛01	魔翼飞蛛	51	mon3	3850	51	20	8	0	4	6	6	2	10		有		完成																				
52	小蝙蝠	蝙蝠	52	mon3	4200	51	20	8	0	4	6	6	2	10		有	血条需张谦修改	完成																				
53	骷髅小怪	祭灵	53	mon3	4550	51	61	8	0	4	8	8	2	10				完成																				
54	爬行僵尸	爬行僵尸	54	mon3	4900	51	61	8	0	4	8	8	2	10		有		完成																				
55	尸王	尸王	55	mon3	5250	51	64	8	0	4	8	8	2	10		有		完成																				
57	老虎	猛虎	57	mon3	5950	51	20	8	0	4	6	6	2	10		有		完成																				
58	黑野猪	魔牙黑猪	58	mon3	6300	51	61	8	0	4	8	8	2	10		有		完成																				
59	红野猪	红纹猪卫	59	mon3	6650	51	61	8	0	4	8	8	2	10		有		完成																				
60	弓箭护卫1	弓箭护卫1	60	mon4	0	25	25	8	0	4	8	8	2	10				完成																				
61	变异的老兵	变异的老兵	61	mon4	450	66	42	8	0	4	8	6	2	10				完成																				
62	感染的老兵	感染的老兵	62	mon4	900	66	40	8	0	4	6	8	2	10				完成																				
63	狂斧骷5	狂斧骷5	63	mon4	1350	66	43	8	0	4	8	6	2	10				完成																				
64	投石犬人	魔域犬人1	64	mon4	1800	66	42	8	0	4	8	6	2	10				完成																				
65	暗影忍者1	暗影忍者1	65	mon4	2250	66	43	8	0	4	8	6	2	10				完成																				
