前缀ID	前缀名	影响属性	等级	最小值	最大值	消耗energy	作用于部位	文字
ID	name	attr	lev	min	max	energy	EquipPos	text
string	string	PAttr	int	int	int	int	int[]	string
1	结实	DEF	1	2	6	1	0,2,4,6,7	防御 +#
2	强壮	DEF	2	8	12	3	0,2,4,6,7	防御 +#
3	光荣	DEF	3	14	18	5	0,2,4,6,7	防御 +#
4	祝福	DEF	4	20	24	7	0,2,4,6,7	防御 +#
5	神圣	DEF	5	26	30	9	0,2,4,6,7	防御 +#
6	锋利	ATK	1	3	9	1	1,3,5	攻击 +#
7	尖锐	ATK	2	10	16	3	1,3,5	攻击 +#
8	尖刺	ATK	3	17	23	5	1,3,5	攻击 +#
9	杀意	ATK	4	24	30	7	1,3,5	攻击 +#
10	绝灭	ATK	5	31	37	9	1,3,5	攻击 +#
11	精准	HIT	1	3	9	1	1,3,5	命中 +#
12	瞄准	HIT	2	10	16	3	1,3,5	命中 +#
13	对准	HIT	3	17	23	5	1,3,5	命中 +#
14	齐准	HIT	4	24	30	7	1,3,5	命中 +#
15	端正	HIT	5	31	37	9	1,3,5	命中 +#
16	退避	DODGE	1	2	6	1	0,2,4,6,7	闪避 +#
17	圆滑	DODGE	2	8	12	3	0,2,4,6,7	闪避 +#
18	回避	DODGE	3	14	18	5	0,2,4,6,7	闪避 +#
19	滑溜	DODGE	4	20	24	7	0,2,4,6,7	闪避 +#
20	滑不留手	DODGE	5	26	30	9	0,2,4,6,7	闪避 +#
21	小魔力之	MMP	1	40	40	1	0,2,4,6,7	魔法值上限 +#
22	中魔力之	MMP	2	80	80	3	0,2,4,6,7	魔法值上限 +#
23	大魔力之	MMP	3	140	140	5	0,2,4,6,7	魔法值上限 +#
24	超大魔力之	MMP	4	200	200	7	0,2,4,6,7	魔法值上限 +#
25	无限魔力之	MMP	5	260	260	9	0,2,4,6,7	魔法值上限 +#
26	小生命之	MHP	1	60	60	1	0,2,4,6,7	生命值上限 +#
27	中生命之	MHP	2	120	120	3	0,2,4,6,7	生命值上限 +#
28	大生命之	MHP	3	180	180	5	0,2,4,6,7	生命值上限 +#
29	超大生命之	MHP	4	240	240	7	0,2,4,6,7	生命值上限 +#
30	无限生命之	MHP	5	300	300	9	0,2,4,6,7	生命值上限 +#
31	微风	Quick	1	10	10	1	1,3,5	#%快速施法速度
32	大风	Quick	2	15	15	3	1,3,5	#%快速施法速度
33	狂风	Quick	3	20	20	5	1,3,5	#%快速施法速度
