刷新ID	道具ID	可购买数量	货币种类	购买单价	出现概率	次数必中组	desc
id	ItemId	total	currency	price	rate	hit	desc
string	string	int	string	int	int	int	string
1	20008	999	gold	1000	50	0	超级药水
2	20009	999	gold	1000	40	0	人参
3	20020	20	gold	50000	40	0	幻血石(小)
4	20021	20	gold	175000	40	0	幻血石(大)
5	20022	20	gold	50000	40	0	幻魔石(小)
6	20023	20	gold	175000	40	0	幻魔石(大)
7	20026	999	gold	500	40	0	金创药(中)
8	20027	999	gold	1000	40	0	魔法药(中)
9	20028	999	gold	500	40	0	金创药(大)
10	20029	999	gold	1000	40	0	魔法药(大)
11	20033	10	gold	100000	10	0	祝福油
12	20034	10	gold	25000	40	0	回城卷
13	21000	10	gold	75000	10	0	经验玉(小)
14	21003	10	gold	25000	10	0	副本卷轴
15	21004	10	gold	25000	10	0	BOSS卷轴
16	21005	10	gold	1000000	5	0	建会令牌
17	21007	10	gold	20000	5	0	洗练石
18	21011	20	gold	15000	10	0	小飞鞋
19	21012	20	gold	15000	10	0	复活石
20	21013	15	gold	75000	10	0	血符碎片
21	21014	15	gold	75000	10	0	护盾碎片
22	21017	10	gold	50000	10	0	书籍残卷一
23	21018	10	gold	50000	10	0	书籍残卷二
24	22003	5	gold	50000	25	0	半月弯刀
25	22004	5	gold	100000	25	0	野蛮冲撞
26	22010	5	gold	50000	25	0	爆炎术
27	22011	3	gold	50000	25	0	烈焰火墙
28	22013	5	gold	50000	25	0	疾光电影
29	22014	3	gold	100000	25	0	魔法盾
30	22020	3	gold	50000	25	0	群体治疗术
31	22021	3	gold	100000	25	0	召唤神兽
32	22023	3	gold	50000	25	0	神圣战甲术
33	22024	3	gold	50000	25	0	隐身术
34	20009	999	money	1	10	0	人参
35	20020	50	money	10	15	0	幻血石(小)
36	20021	50	money	35	20	0	幻血石(大)
37	20022	50	money	10	20	0	幻魔石(小)
38	20023	50	money	35	20	0	幻魔石(大)
39	20033	20	money	20	20	0	祝福油
40	20034	20	money	5	20	0	回城卷
41	21000	20	money	15	20	0	经验玉(小)
42	21003	20	money	5	20	0	副本卷轴
43	21004	20	money	5	20	0	BOSS卷轴
44	21005	20	money	200	15	0	建会令牌
45	21013	20	money	15	25	0	血符碎片
46	21014	20	money	15	20	0	护盾碎片
47	21017	20	money	10	20	0	书籍残卷一
48	21018	20	money	10	20	0	书籍残卷二
49	20018	30	money	5	20	1	净化丹
50	20019	50	money	1	20	1	回城石
51	20035	3	money	300	10	1	超级祝福油
52	20036	20	money	100	40	1	200VIP点数
53	21001	30	money	20	20	1	经验玉(中)
54	21002	20	money	80	15	1	经验玉(大)
55	21006	5	money	50	20	1	攻城号角
56	21019	20	money	10	20	1	书籍残卷三
57	21020	20	money	10	20	1	书籍残卷四
58	21021	20	money	10	20	1	书籍残卷五
59	22005	5	money	100	20	1	烈火剑法
60	22006	5	money	100	20	1	狮子吼
61	22026	5	money	100	20	1	高级烈火剑法
62	22012	5	money	100	20	1	冰咆哮
63	22015	5	money	100	20	1	高级魔法盾
64	22016	5	money	100	20	1	地狱雷光
65	22022	5	money	100	20	1	高级召唤神兽
66	22025	5	money	100	20	1	无极真气
