职业区分	羽化等级	转生需求等级	转生需求金币	转生需求道ID	需求道具数量	HP上限	MP上限	物攻最小	物攻最大	魔攻最小	魔攻最大	道攻最小	道攻最大	物防最小	物防最大	魔防最小	魔防最大	准确	闪避	暴击	韧性	幸运
ID	lev	needLev	gold	itemID	itemNum	MHP	MMP	ATK	ATK2	MATK	MATK2	SATK	SATK2	DEF	DEF2	MDEF	MDEF2	HIT	DODGE	CRI	tenacity	LUCKY
string	int	int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
11000	0	60	10000	20010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11001	1	70	30000	20010	3	878	57	20	80	0	0	0	0	6	48	1	12	0	0	0	0	0
11002	2	75	50000	20010	10	1757	114	40	160	0	0	0	0	12	96	3	25	0	0	0	0	0
11003	3	80	100000	20010	15	2636	171	60	240	0	0	0	0	18	144	5	38	0	0	0	0	0
11004	4	85	150000	20010	20	3515	228	80	320	0	0	0	0	24	192	7	51	0	0	0	0	0
11005	5	89	200000	20010	30	4393	285	100	400	0	0	0	0	30	240	9	64	0	0	0	0	0
11006	6	92	250000	20010	40	5272	342	120	480	0	0	0	0	36	288	10	77	0	0	0	0	0
11007	7	95	300000	20010	50	6151	399	140	560	0	0	0	0	42	336	12	90	0	0	0	0	0
11008	8	98	400000	20010	80	7030	456	160	640	0	0	0	0	48	384	14	103	0	0	0	0	0
11009	9	100	500000	20010	100	7908	513	180	720	0	0	0	0	54	432	16	116	0	0	0	0	0
11010	10	100	800000	20010	200	8787	570	200	800	0	0	0	0	60	480	18	129	0	0	0	0	0
21000	0	60	10000	20010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21001	1	70	30000	20010	3	475	171	0	0	20	80	0	0	1	14	5	38	0	0	0	0	0
21002	2	75	50000	20010	10	950	342	0	0	40	160	0	0	3	28	10	77	0	0	0	0	0
21003	3	80	100000	20010	15	1425	513	0	0	60	240	0	0	5	43	16	116	0	0	0	0	0
21004	4	85	150000	20010	20	1900	684	0	0	80	320	0	0	7	57	21	155	0	0	0	0	0
21005	5	89	200000	20010	30	2375	855	0	0	100	400	0	0	9	72	27	194	0	0	0	0	0
21006	6	92	250000	20010	40	2850	1026	0	0	120	480	0	0	10	86	32	233	0	0	0	0	0
21007	7	95	300000	20010	50	3325	1197	0	0	140	560	0	0	12	100	37	272	0	0	0	0	0
21008	8	98	400000	20010	80	3800	1368	0	0	160	640	0	0	14	115	43	311	0	0	0	0	0
21009	9	100	500000	20010	100	4275	1539	0	0	180	720	0	0	16	129	48	349	0	0	0	0	0
21010	10	100	800000	20010	200	4750	1710	0	0	200	800	0	0	18	144	54	388	0	0	0	0	0
41000	0	60	10000	20010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41001	1	70	30000	20010	3	617	114	0	0	0	0	20	80	3	26	3	23	0	0	0	0	0
41002	2	75	50000	20010	10	1235	228	0	0	0	0	40	160	6	52	6	47	0	0	0	0	0
41003	3	80	100000	20010	15	1852	342	0	0	0	0	60	240	9	79	9	71	0	0	0	0	0
41004	4	85	150000	20010	20	2470	456	0	0	0	0	80	320	13	105	13	95	0	0	0	0	0
41005	5	89	200000	20010	30	3087	570	0	0	0	0	100	400	16	132	16	118	0	0	0	0	0
41006	6	92	250000	20010	40	3705	684	0	0	0	0	120	480	19	158	19	142	0	0	0	0	0
41007	7	95	300000	20010	50	4322	798	0	0	0	0	140	560	23	184	23	166	0	0	0	0	0
41008	8	98	400000	20010	80	4940	912	0	0	0	0	160	640	26	211	26	190	0	0	0	0	0
41009	9	100	500000	20010	100	5557	1026	0	0	0	0	180	720	29	237	29	213	0	0	0	0	0
41010	10	100	800000	20010	200	6175	1140	0	0	0	0	200	800	33	264	33	237	0	0	0	0	0
