编号	物品ID	物品名	数量	货币类型	是否商城物品	价格	编辑器目录													
id	itemid	itemname	count	currency	isShop	price	editdir													
string	string	string	int	string	int	int	string													
11001	20009	人参	1	gold	0	10000	随身商店													
11002	20008	超级药水	1	gold	0	10000	随身商店													
11003	20026	金创药(中)	1	gold	0	500	随身商店													
11004	20027	魔法药(中)	1	gold	0	500	随身商店													
11005	20028	金创药(大)	1	gold	0	1500	随身商店													
11006	20029	魔法药(大)	1	gold	0	1500	随身商店													
11007	21003	副本卷轴	1	gold	0	1	随身商店													
11008	21004	BOSS卷轴	1	gold	0	1	随身商店													
11009	21016	试炼凭证	1	gold	0	1	随身商店													
11010	20034	回城卷	1	gold	0	1	随身商店													
12001	20020	幻血石(小)	1	gold	0	20000	血池													
12002	20021	幻血石(大)	1	money	0	80	血池													
12003	20022	幻魔石(小)	1	gold	0	20000	血池													
12004	20023	幻魔石(大)	1	money	0	80	血池													
12005	20024	血魔石(小)	1	gold	0	50000	血池													
12006	20025	血魔石(大)	1	money	0	150	血池													
13001	20009	人参	1	gold	0	10000	新手村药品商人													
13002	20008	超级药水	1	gold	0	10000	新手村药品商人													
13003	20026	金创药(中)	1	gold	0	500	新手村药品商人													
13004	20027	魔法药(中)	1	gold	0	500	新手村药品商人													
13005	20028	金创药(大)	1	gold	0	1500	新手村药品商人													
13006	20029	魔法药(大)	1	gold	0	1500	新手村药品商人													
14001	20006	金创药(小)	1	gold	0	100	沙盟药品商人													
14002	20007	魔法药(小)	1	gold	0	100	沙盟药品商人													
14003	20026	金创药(中)	1	gold	0	500	沙盟药品商人													
14004	20027	魔法药(中)	1	gold	0	500	沙盟药品商人													
14005	20028	金创药(大)	1	gold	0	1500	沙盟药品商人													
14006	20029	魔法药(大)	1	gold	0	1500	沙盟药品商人													
14007	20009	人参	1	money	0	2	沙盟药品商人													
15001	20026	金创药(中)	99	Bossear	0	50	BOSS积分商店													
15002	20027	魔法药(中)	99	Bossear	0	50	BOSS积分商店													
15003	20028	金创药(大)	99	Bossear	0	120	BOSS积分商店													
15004	20029	魔法药(大)	99	Bossear	0	120	BOSS积分商店													
15005	20034	回城卷	10	Bossear	0	200	BOSS积分商店													
15006	21012	复活石	5	Bossear	0	500	BOSS积分商店													
15007	20020	幻血石(小)	1	Bossear	0	50	BOSS积分商店													
15008	20021	幻血石(大)	1	Bossear	0	150	BOSS积分商店													
15009	20022	幻魔石(小)	1	Bossear	0	50	BOSS积分商店													
15010	20023	幻魔石(大)	1	Bossear	0	150	BOSS积分商店													
15011	21017	书籍残卷一	1	Bossear	0	500	BOSS积分商店													
15012	21018	书籍残卷二	1	Bossear	0	500	BOSS积分商店													
15013	20018	净化丹	1	Bossear	0	1000	BOSS积分商店													
15014	21000	经验玉(小)	1	Bossear	0	300	BOSS积分商店													
15015	21001	经验玉(中)	1	Bossear	0	800	BOSS积分商店													
15016	20008	超级药水	1	Bossear	0	10	BOSS积分商店													
15017	20009	人参	1	Bossear	0	10	BOSS积分商店													
15018	21003	副本卷轴	1	Bossear	0	200	BOSS积分商店													
15019	21004	BOSS卷轴	5	Bossear	0	200	BOSS积分商店													
15020	21007	洗练石	5	Bossear	0	800	BOSS积分商店													
16001	02230	刺客时装(男)	1	money	0	500	元宝商店装备													
16002	02235	刺客时装(女)	1	money	0	500	元宝商店装备													
16003	02240	恶魔时装(男)	1	money	0	800	元宝商店装备													
16004	02245	恶魔时装(女)	1	money	0	800	元宝商店装备													
16005	02250	婚纱时装(男)	1	money	0	1200	元宝商店装备													
16006	02255	婚纱时装(女)	1	money	0	1200	元宝商店装备													
16007	03127	极光之刃	1	money	0	3000	元宝商店装备													
16008	03137	恐惧之牙	1	money	0	3000	元宝商店装备													
16009	03147	屠夫之心	1	money	0	5000	元宝商店装备													
16010	21007	洗练石	1	money	0	10	元宝商店养成													
16011	21013	血符碎片	1	money	0	50	元宝商店养成													
16012	21014	护盾碎片	1	money	0	10	元宝商店养成													
16013	21019	书籍残卷三	1	money	0	50	元宝商店养成													
16014	21020	书籍残卷四	1	money	0	10	元宝商店养成													
16015	21021	书籍残卷五	1	money	0	50	元宝商店养成													
16016	21000	经验玉(小)	1	money	0	1000	元宝商店养成													
16017	21001	经验玉(中)	1	money	0	30	元宝商店养成													
16018	21002	经验玉(大)	1	money	0	80	元宝商店养成													
16019	20018	净化丹	1	money	0	50	元宝商店消耗													
16020	20031	礼券(中)	1	money	0	10	元宝商店消耗													
16021	20032	礼券(大)	1	money	0	30	元宝商店消耗													
16022	20020	幻血石(小)	1	money	0	10	元宝商店消耗													
16023	20021	幻血石(大)	1	money	0	50	元宝商店消耗													
16024	20022	幻魔石(小)	1	money	0	10	元宝商店消耗													
