技能ID	技能名	图标	技能类型	备注	职业	等级	学习等级	升级所需修为值	升级后的技能ID	消耗HP	消耗MP	吟唱时间	CD类别	冷却时间	公共冷却	循环技能	施放方式	状态技能	形状	目标类型	合法对象	移动到目标位置	施法距离	影响范围	最大影响人数	技能攻击	系别	系别伤害	触发功能几率	是否持续引导	间隔时间	持续时间	功能ID	功能参数	功能数据	目标特效	动作	音效	技能说明	编辑器目录
ID	name	icon	type	desc	job	lev	studylev	needexp	nextID	needHP	needMP	singtime	cdtype	cdtime	pubcdtime	iscircle	ReleaseType	isstate	shape	TargetType	validTarget	gotarget	distance	range	maxcount	ATKrate	sort	Damage	Funcrate	isguide	intervaltime	duration	funcid	funcparams	funcdatas	targeteffect	act	sound	info	editdir
string	string	string	int	string	string	int	int	int	string	int	int	int	string	int	int	bool	int	bool	int	int	int	int	int	int	int	float	int	int	float	bool	int	int	int	string	int	string	string	string	string	string
pk	平砍	items/pk	1	普通攻击	全职业	1	1	0	0	0	0	0	skill	600	600	1	1	0	1	2	3	0	48	0	1	1	0	0	1	0	1000	0	0	0	0	普通攻击	atk	flameswipe01		平砍
cj	采集	items/cj	1	采集技能	全职业	1	1	0	0	0	0	0	skill	600	600	0	1	0	1	2	5	0	48	0	1	0	3	0	1	0	1000	0	0	0	0	采集	collet	flameswipe01		采集
sq	拾取	items/sq	1	拾取技能	全职业	1	1	0	0	0	0	0	skill	600	600	1	1	0	1	2	4	0	0	0	1	0	3	0	1	0	1000	0	0	0	0	拾取	stand	flameswipe01		拾取
jbjf01	基本剑法	items/jbjf	0	被动技能	战士	1	1	100	jbjf02	0	1	0	skill	1000	600	0	3	0	1	2	3	0	0	0	1	1.1	3	0	1	0	1000	0	1	HIT	0		atk	flameswipe01		基本剑法
jbjf02	基本剑法	items/jbjf	0	被动技能	战士	2	1	500	jbjf03	0	2	0	skill	1000	600	0	3	0	1	2	3	0	0	0	1	1.2	3	0	1	0	1000	0	1	HIT	0		atk	flameswipe01		基本剑法
jbjf03	基本剑法	items/jbjf	0	被动技能	战士	3	1	1000	0	0	4	0	skill	1000	600	0	3	0	1	2	3	0	0	0	1	1.3	3	0	1	0	1000	0	1	HIT	0		atk	flameswipe01		基本剑法
csjf01	刺杀剑法	items/csjf	1	直线两人	战士	1	1	150	csjf02	0	3	0	skill	600	600	1	2	0	2	2	3	0	96	48	2	1	0	0	1	0	1000	0	0	0	0	刺杀	atk	flameswipe01	天枫十四郎目光尽赤，满身衣服也被他身体发出的真力鼓动得飘飞而起	刺杀剑法
csjf02	刺杀剑法	items/csjf	1	直线两人	战士	2	1	800	csjf03	0	5	0	skill	600	600	1	2	0	2	2	3	0	96	48	2	1	0	0	1	0	1000	0	0	0	0	刺杀	atk	flameswipe01	　　——这一刀必杀，他已不必再留余力。	刺杀剑法
csjf03	刺杀剑法	items/csjf	1	直线两人	战士	3	1	1500	0	0	8	0	skill	600	600	1	2	0	2	2	3	0	96	48	2	1	0	0	1	0	1000	0	0	0	0	刺杀	atk	flameswipe01	　　这“迎风一刀斩”，岂是真能无敌于天下？	刺杀剑法
gsjf01	攻杀剑法	items/gsjf	0	单体技能	战士	1	1	200	gsjf02	0	2	0	skill	0	0	0	2	0	1	2	3	0	0	48	1	1.1	0	0	1	0	1000	0	0	0	0	攻杀	atk	flameswipe01		攻杀剑法
gsjf02	攻杀剑法	items/gsjf	0	单体技能	战士	2	1	1000	gsjf03	0	3	0	skill	0	0	0	2	0	1	2	3	0	0	48	1	1.2	0	0	1	0	1000	0	0	0	0	攻杀	atk	flameswipe01		攻杀剑法
gsjf03	攻杀剑法	items/gsjf	0	单体技能	战士	3	1	3000	0	0	4	0	skill	0	0	0	2	0	1	2	3	0	0	48	1	1.4	0	0	1	0	1000	0	0	0	0	攻杀	atk	flameswipe01		攻杀剑法
bywd01	半月弯刀	items/bywd	1	扇形多人	战士	1	1	100	bywd02	0	5	0	skill	600	600	0	2	0	4	2	3	0	48	48	4	0.9	0	0	1	0	1000	0	0	0	0	半月	atk	flameswipe01		半月弯刀
bywd02	半月弯刀	items/bywd	1	扇形多人	战士	2	1	500	bywd03	0	15	0	skill	600	600	0	2	0	4	2	3	0	48	48	4	1	0	0	1	0	1000	0	0	0	0	半月	atk	flameswipe01		半月弯刀
