状态ID	状态名称	图标	等级	类型	滤镜	光效	附属点	描述	受攻击解除状态	持续时间	作用间隔时间	合法对象	影响范围	功能ID	功能参数	功能数据	变身为	是否隐藏	编辑器目录
ID	name	icon	lev	stateType	filter	effect	RallyPoint 	desc	removeOnAtked	duration	interval	validTarget	range	funcid	funcparams	funcdatas	model	ishide	editdir
string	string	string	int	int	string	string	string	string	bool	int	int	int	int	int	string[]	int[]	string	bool	string
lx01	流血1级	buf/lx	1	1			head	轻度流血,一秒5滴	0	6000	2000	1	0	1	HP	-5		0	流血
lx02	流血2级	buf/lx	2	1			head	轻度流血,一秒10滴	0	8000	2000	1	0	1	HP	-10		0	流血
lx03	流血3级	buf/lx	3	1			head	轻度流血,一秒15滴	0	10000	2000	1	0	1	HP	-15		0	流血
lx04	流血4级	buf/lx	4	1			head	轻度流血,一秒20滴	0	12000	2000	1	0	1	HP	-20		0	流血
lx05	流血5级	buf/lx	5	1			head	轻度流血,一秒25滴	0	14000	2000	1	0	1	HP	-25		0	流血
zd01	中毒1级	buf/zd	1	1			head	轻度中毒,一秒5滴	0	20000	1000	1	0	1	HP	-5		0	中毒
zd02	中毒2级	buf/zd	2	1			head	轻度中毒,一秒10滴	0	25000	1000	1	0	1	HP	-10		0	中毒
zd03	中毒3级	buf/zd	3	1			head	轻度中毒,一秒15滴	0	30000	1000	1	0	1	HP	-15		0	中毒
zd04	中毒4级	buf/zd	4	1			head	轻度中毒,一秒20滴	0	35000	1000	1	0	1	HP	-20		0	中毒
zd05	中毒5级	buf/zd	5	1			head	轻度中毒,一秒25滴	0	40000	1000	1	0	1	HP	-25		0	中毒
xr01	虚弱1级	buf/xr	1	1			leg		0	1000	0	1	0	1	CRI,ATK,DEF,Itd	0,-10,-10,-10		0	虚弱
xr02	虚弱2级	buf/xr	2	1			leg		0	1000	0	1	0	1	CRI,ATK,DEF,Itd	0,-15,-15,-15		0	虚弱
xr03	虚弱3级	buf/xr	3	1			leg		0	1000	0	1	0	1	CRI,ATK,DEF,Itd	0,-20,-20,-20		0	虚弱
xr04	虚弱4级	buf/xr	4	1			leg		0	1000	0	1	0	1	CRI,ATK,DEF,Itd	0,-25,-25,-25		0	虚弱
xr05	虚弱5级	buf/xr	5	1			leg		0	1000	0	1	0	1	CRI,ATK,DEF,Itd	0,-30,-30,-30		0	虚弱
ch01	迟缓1级	buf/ch	1	1	ice		body		0	3000	0	1	0	1	SpeedRate	60		0	迟缓
ch02	迟缓2级	buf/ch	2	1	ice		body		0	5000	0	1	0	1	SpeedRate	55		0	迟缓
ch03	迟缓3级	buf/ch	3	1	ice		body		0	7000	0	1	0	1	SpeedRate	50		0	迟缓
ch04	迟缓4级	buf/ch	4	1	ice		body		0	9000	0	1	0	1	SpeedRate	45		0	迟缓
ch05	迟缓5级	buf/ch	5	1	ice		body		0	11000	0	1	0	1	SpeedRate	40		0	迟缓
ds01	定身1级	buf/ds	1	1			body	定住人,不让移动	1	3000	0	1	0	1	CantMove	1		0	定身
ds02	定身2级	buf/ds	2	1			body	定住人,不让移动	1	4000	0	1	0	1	CantMove	1		0	定身
ds03	定身3级	buf/ds	3	1			body	定住人,不让移动	1	5000	0	1	0	1	CantMove	1		0	定身
ds04	定身4级	buf/ds	4	1			body	定住人,不让移动	1	6000	0	1	0	1	CantMove	1		0	定身
ds05	定身5级	buf/ds	5	1			body	定住人,不让移动	1	7000	0	1	0	1	CantMove	1		0	定身
cm01	沉默1级	buf/cm	1	1			body	无法使用技能	1	3000	0	1	0	1	CantUseSkill	1		0	沉默
cm02	沉默2级	buf/cm	2	1			body	无法使用技能	1	4000	0	1	0	1	CantUseSkill	1		0	沉默
cm03	沉默3级	buf/cm	3	1			body	无法使用技能	1	5000	0	1	0	1	CantUseSkill	1		0	沉默
cm04	沉默4级	buf/cm	4	1			body	无法使用技能	1	6000	0	1	0	1	CantUseSkill	1		0	沉默
cm05	沉默5级	buf/cm	5	1			body	无法使用技能	1	7000	0	1	0	1	CantUseSkill	1		0	沉默
bx01	变形1级	buf/bx	1	1			body	无法使用技能	1	3000	0	1	0	1	CantUseSkill	1	53	0	变形
bx02	变形2级	buf/bx	2	1			body	无法使用技能	1	4000	0	1	0	1	CantUseSkill	1	53	0	变形
bx03	变形3级	buf/bx	3	1			body	无法使用技能	1	5000	0	1	0	1	CantUseSkill	1	53	0	变形
bx04	变形4级	buf/bx	4	1			body	无法使用技能	1	6000	0	1	0	1	CantUseSkill	1	53	0	变形
bx05	变形5级	buf/bx	5	1			body	无法使用技能	1	7000	0	1	0	1	CantUseSkill	1	53	0	变形
xy01	眩晕1级	buf/xy	1	1			head		1	3000	0	1	0	1	CantMove,CantUseSkill	1,1		0	眩晕
xy02	眩晕2级	buf/xy	2	1			head		1	5000	0	1	0	1	CantMove,CantUseSkill	1,1		0	眩晕
xy03	眩晕3级	buf/xy	3	1			head		1	7000	0	1	0	1	CantMove,CantUseSkill	1,1		0	眩晕
xy04	眩晕4级	buf/xy	4	1			head		1	9000	0	1	0	1	CantMove,CantUseSkill	1,1		0	眩晕
xy05	眩晕5级	buf/xy	5	1			head		1	11000	0	1	0	1	CantMove,CantUseSkill	1,1		0	眩晕
sh01	石化1级	buf/sh	1	1			body	定住人,不让移动	1	3000	0	1	0	1	CantMove,CantUseSkill	1,1		0	石化
sh02	石化2级	buf/sh	2	1			body	定住人,不让移动	1	4000	0	1	0	1	CantMove,CantUseSkill	1,1		0	石化
sh03	石化3级	buf/sh	3	1			body	定住人,不让移动	1	5000	0	1	0	1	CantMove,CantUseSkill	1,1		0	石化
