任务ID	名称	分类	激活状态	触发事件	事件参数	任务追踪文字	任务追踪导航	任务开启对话	任务类型	副本任务地图	需要门派	需要帮会等级	消耗金币	消耗物品	可重复接次数	NPC给予任务道具	任务目标	目标数量	任务追踪	等级下限	等级上限	任务时间	奖励金币	奖励经验	通用道具奖励	战士装备奖励	法师道具奖励	道士道具奖励	装备魔法品级	奖励buf	完成后激活任务ID	交接类型	交接目标	任务完成对话	是否允许拒绝	是否隐藏	任务描述																																																																																																																																																			
ID	name	sort	isactive	trigerType	trigerArgs	trackText	trackNav	dialog	type	entermap	needjob	needguild	needgold	needitem	canReAccept	giveItem	targets	counts	track	minlev	maxlev	limittime	bonusgold	bonusexp	bonusitem	zsitem	fsitem	ssitem	itemrank	bonusbuf	actives	overtype	overtarget	enddialog	canrefuse	ishide	desc																																																																																																																																																			
string	string	string	bool	int	string	string	string	string	int	string	int	int	int	string	int	string[]	string[]	int[]	string	int	int	int	int	int	string[]	string[]	string[]	string[]	int	string[]	string[]	int	string	string	bool	bool	string																																																																																																																																																			
1000001	新人接待	1	1	4	0		path,1,npc005		1	0	0	0	0	0	0		0	0		0	1000	0	160	80					0		1000002	1	npc005	欢迎来到玛法大陆，救世的勇者！	0	0	欢迎来到玛法大陆，救世的勇者！																																																																																																																																																			
1000002	杀鸡	1	0	4	0		path,1,1		3	0	0	0	0	0	0		1	2		0	100	0	200	100	03000,1				0		1000003	1	npc013	勇者，你来了，这是我为你准备的武器，请收下！旁边的屠夫好像有事找你，去看看吧！	0	0	勇者，你来了，这是我为你准备的武器，请收下！旁边的屠夫好像有事找你，去看看吧！																																																																																																																																																			
1000003	收集肉	1	0	4	0		path,1,2		4	0	0	0	0	0	0		21010	2		0	1002	0	300	150		22000,1	22007,1	22018,1	0		1000004	1	npc007	听说铁匠那个大傻给了你一把武器，既然有了武器，那么去杀几只小鸡试试威力吧！	0	0	听说铁匠那个大傻给了你一把武器，既然有了武器，那么去杀几只小鸡试试威力吧！																																																																																																																																																			
1000004	与裁缝对话	1	0	4	0		path,1,npc009		1	0	0	0	0	0	0		0	0		0	1003	0	400	200	02000,1,21011,5				0		1000005	1	npc009	小鸡杀完了？不错不错，这是给你的奖励！去看看掌柜王伯	0	0	小鸡杀完了？不错不错，这是给你的奖励！去看看掌柜王伯																																																																																																																																																			
1000005	击杀稻草人	1	0	4	0		path,1,200		3	0	0	0	0	0	0		200	5		0	1004	0	720	360	21011,5				0		1000106	1	npc008	你来了，勇者，你特意跑来找我有什么事吗？我曾听人说起，此人原有通天之能，可后来不知道遇到什么事，到我们村里隐居，你去看看吧，或许会有意外收获	0	0	你来了，勇者，你特意跑来找我有什么事吗？我曾听人说起，此人原有通天之能，可后来不知道遇到什么事，到我们村里隐居，你去看看吧，或许会有意外收获																																																																																																																																																			
1000106	钱老板	1	0	4	0		path,1,npc047		1	0	0	0	0	0	0		0	0		0	1005	0	1100	550	20006,10,20007,10				0		1000107	1	npc047	救世的勇者，你终于来了，我等你很久了，我将传授我的毕生武艺于你，只希望你将来若有机会，能帮我一个忙击败几只小鹿吧	0	0	救世的勇者，你终于来了，我等你很久了，我将传授我的毕生武艺于你，只希望你将来若有机会，能帮我一个忙击败几只小鹿吧																																																																																																																																																			
1000107	书店老板	1	0	4	0		path,1,npc006		1	0	0	0	0	0	0		0	0		0	1006	0	1500	750		22001,1	22010,1	22019,1	0		1000108	1	npc006	小鹿击杀完了？很好，这是给你的奖励！	0	0	小鹿击杀完了？很好，这是给你的奖励！																																																																																																																																																			
1000108	击杀硕鼠	1	0	4	0		path,1,14		3	0	0	0	0	0	0		14	5		0	1007	0	1800	900	21012,1				0		1000109	1	npc004	这次找你，是有重要的事情麻烦你的，我最近在研制一种解药，但是材料不全，需要10个仙草，麻烦你帮我找来！	0	0	这次找你，是有重要的事情麻烦你的，我最近在研制一种解药，但是材料不全，需要10个仙草，麻烦你帮我找来！																																																																																																																																																			
