描述ID	描述
ID	des
string	string
10000	服务器繁忙，请稍后再试
10001	连接超时，请稍后再试
10002	账号错误，请确认后重新输入
10003	密码错误，请确认后重新输入
10004	账户在其他地方登录
10005	角色已经删除,请重新选择角色
10006	账号不可用,请重新输入账号
10007	角色在游戏中，不能删除
10015	创建角色失败,角色数量大于4
10016	创建角色失败,角色名称已存在
10017	角色名称不可以多于6个字
10018	角色名称必须多于2个字
10019	角色名称包含不合法的符号
10020	角色名称包含不合法的名称
10021	您现在处于防沉迷保护时间，需下线休息5小时候后再登陆
11017	您消耗一个飞行符，传送到了【#】
12001	你发言过快
12002	你还没有加入帮会
12003	不能和自己私聊
12004	不存在该玩家，请确认后发送
12005	很抱歉,玩家禁止接受发送私聊消息
12006	你发言过快,将被禁言5秒钟
12007	只有等级大于20的玩家才能在世界聊天发言
12008	重复发言
12009	你还没有进入场景
12010	你还没有加入队伍
12011	您输入的内容不能为空
12012	您输入的内容过长
12013	你已被禁言
12014	对方不想理你
12015	很抱歉,对方设置了禁止其他人发送私聊的操作
12016	很抱歉,对方设置了拒绝陌生人对话的操作
13000	对不起，该神将不存在
13002	您选中的神将返生成功，资质和技能重新生成，快去看看吧。
13003	对不起，您的神将等级高于您的人物等级10级，无法出战
13004	对不起，该神将的忠诚为0无法出战，请通过“忠诚”功能恢复
13005	很抱歉，您的人物等级达到$级以后才能召唤神将出战。
13006	神将处于交易状态,不能出战
13008	恭喜您，您的神将品级提升成功，它的能力更加强大了
13009	很遗憾，您的神将品级提升失败了，请再接再厉
13010	对不起，本次提升需要$个进阶符，您背包中的进阶符数量不足
13011	恭喜您，神将升阶成功，您获得了新神将$
13012	很抱歉，神将升阶失败，但进阶祝福值提升了$点，您下次进阶的成功几率提高了
13013	您失去了进阶符$个，镇灵符$个，铜钱$
13014	您的神将处于复活状态，需要等待$秒后才能再次出战
13015	对不起，本次提升需要$个神佑丹，您背包中的神佑丹数量不足
13016	很抱歉，您的$已经阵亡，忠诚度损失$，您需要召唤新的神将帮助战斗
13020	恭喜您，您的神将悟性提升了$点，它变得更加聪明了
13021	恭喜您，您的神将悟性提升了$点，并领悟了新技能   $
13022	很遗憾，您的神将悟性提升失败了，请再接再厉
13023	很抱歉，您的背包中没有镇灵符
13024	恭喜您，您的神将力量潜力提升了$点，它变得更加强大了
13025	恭喜您，您的神将耐力潜力提升了$点，它变得更加强大了
13026	恭喜您，您的神将敏捷潜力提升了$点，它变得更加强大了
13027	恭喜您，您的神将体质潜力提升了$点，它变得更加强大了
13028	很遗憾，您的神将力量潜力提升失败了，请再接再厉
13029	很遗憾，您的神将耐力潜力提升失败了，请再接再厉
13030	很遗憾，您的神将敏捷潜力提升失败了，请再接再厉
13031	很遗憾，您的神将体质潜力提升失败了，请再接再厉
13032	您失去了$个神佑丹，$个幸运晶，$铜钱
13033	恭喜您，您的神将可神佑的攻击提升了，它变得更加强大了
13034	恭喜您，您的神将可神佑的防御提升了，它变得更加强大了
13035	恭喜您，您的神将可神佑的暴击值提升了，它变得更加强大了
13036	恭喜您，您的神将可神佑的闪避提升了，它变得更加强大了
13037	恭喜您，您的神将可神佑的命中提升了，它变得更加强大了
13038	恭喜您，您的神将可神佑的气血提升了，它变得更加强大了
13039	恭喜您，您的神将可神佑的法力提升了，它变得更加强大了
13040	很遗憾，您的神将神佑攻击提升失败了，请再接再厉 
13041	很遗憾，您的神将神佑防御提升失败了，请再接再厉
13042	很遗憾，您的神将神佑暴击提升失败了，请再接再厉
13043	很遗憾，您的神将神佑闪避提升失败了，请再接再厉
13044	很遗憾，您的神将神佑命中提升失败了，请再接再厉
13045	很遗憾，您的神将神佑气血提升失败了，请再接再厉
13046	很遗憾，您的神将神佑法力提升失败了，请再接再厉
13047	恭喜您，您的神将提升至优良品级，它的能力更加强大了
13048	恭喜您，您的神将提升至稀有品级，它的能力更加强大了
13049	恭喜您，您的神将提升至传说品级，它的能力更加强大了
13050	您的神将已经很忠诚，不需要进供。
13051	您的神将供品不足，需要到杂货商处购买。
13052	对不起，您当前出战的神将已经没有忠诚了，请为其恢复忠诚
13053	请先选中神将，使用技能书后您所出战的神将将学会新的技能。
13054	对不起，您当前选中的神将已经掌握了#技能，无需再次学习
13055	恭喜您，您的神将学会了新技能#，但遗憾的遗忘了老技能#
13056	恭喜您，您的神将学会了新技能#
13057	对不起,您的神将已经学习了最大量技能,不能再学习新技能了。
13058	恭喜您，您的神将领悟了新技能  #
13059	对不起,当前没有出战的神将!!!
13060	对不起，处于神佑状态的神将无法放生，请先将该神将设为休息
13061	对不起，处于出战状态的神将无法放生，请先收起该神将
13062	对不起，您要提升的神将属性已经是最大值，无法再提升
13063	对不起，出战或神佑状态的神将不能转生,请先取消出战或神佑!
13064	对不起，出战或神佑状态的神将不能进阶,请先取消出战或神佑!
13065	对不起，出战或神佑状态的神将不能提升品级,请先取消出战或神佑!
13066	对不起，您的神将已经是传说品级,不能再提升!
