显示名	怪物ID	编辑器目录	声音形象	type	名称颜色	头像	存在时间	死亡后复活时间	等级	动画	大小	积分	exp	金钱	金币掉率	技能间隔时间	默认技能	概率型技能	技能概率	第二技能	移动速度	MHP	最小攻击	最大攻击	物防	魔防	回血	命中率	闪避率	暴击率	抵抗暴击	火系抵抗	冰系抵抗	电系抵抗	巡逻半径	视野范围	攻击几率	追击距离	地图	掉落组	掉落几率	任务掉落	任务掉落几率	功能ID	功能参数	功能数据	默认对话																																																																																																																																																																																																																				
name	id	editdir	Appr	type	nameColor	head	livetime	backtime	lev	model	size	integral	exp	gold	goldRate	interval	skill1	skill2	skillrate	dieskill	SPEED	MHP	ATK	ATK2	DEF	MDEF	HPG	HIT	DODGE	CRI	Itd	FR	CR	LR	wanderdistance	sight	ATKRate	chaseDistance	map	drops	droprates	taskdrop	taskdroprate	funcid	funcparams	funcdatas	dialog																																																																																																																																																																																																																				
string	string	string	int	int	int	int	int	int	int	int[]	int	int	int	int	float	int	string	string	float	string	int	int	int	int	int	int	float	int	int	int	int	int	int	int	int	int	float	int	string	string[]	float[]	string	float	int	string[]	int[]	string																																																																																																																																																																																																																				
小鸡	1	新手村怪物	1	3	0	1000	0	2000	1	1	1	0	6	30	0.3	1500	pk		0	0	70	25	5	20	0	0	0	2	0	0	0	0	0	0	150	200	0	300	1	lev15	0.15		0																																																																																																																																																																																																																								
小鹿	2	新手村怪物	2	3	0	1001	0	2000	2	2	1	0	6	30	0.3	1500	pk		0	0	70	35	5	20	0	0	0	2	0	0	0	0	0	0	150	200	0	300	1	lev2,lev15	0.6,0.15		0																																																																																																																																																																																																																								
蟾蜍	9	新手村怪物	9	3	0	1008	0	2000	8	9	1	0	10	30	0.3	1500	pk		0	0	120	180	15	45	0	0	0	2	0	0	0	0	0	0	150	200	0	300	1	lev15	0.15		0																																																																																																																																																																																																																								
硕鼠	14	新手村怪物	14	3	0	1013	0	2000	5	14	1	0	10	30	0.3	1500	pk		0	0	50	120	15	30	0	0	0	2	0	0	0	0	0	0	150	200	0	300	1	lev15	0.15		0																																																																																																																																																																																																																								
沙狼	16	新手村怪物	16	3	0	1015	0	2000	3	16	1	0	15	30	0.3	1500	pk		0	0	120	140	6	23	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	1	lev15	0.15		0																																																																																																																																																																																																																								
外来生物	22	新手村怪物	22	4	0	1021	0	10000	30	22	1	0	50	30	0.3	1500	pk		0	0	100	500	68	75	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	1	lev15,lev1	0.15,0.15		0																																																																																																																																																																																																																								
食人花	102	新手村怪物	102	3	0	1079	0	2000	8	102	1	0	15	30	0.3	1500	pk		0	0	100	200	9	32	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	1	lev15	0.15		0																																																																																																																																																																																																																								
钉耙猫	121	新手村怪物	121	3	0	1008	0	2000	10	121	1	0	30	30	0.3	1500	pk		0	0	120	200	15	53	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	1	lev15	0.15		0																																																																																																																																																																																																																								
