VIP	名称	等级	下一级需求经验	升级激活时间	角色HP增加	角色攻击增加	魔血池恢复量增加	杀怪获得经验提升	日常任务次数	日常副本次数	备注
ID	name	lev	nextexp	addTime	addHP	addATK	addPool	addexp	addDayTaskCount	addDayFubenCount	desc
string	string	int	int	int	float	float	float	float	int	int	string
1	初学乍练	1	300	86400	0.05	0	0.1	0.1	0	0	
2	初窥门径	2	800	86400	0.06	0.01	0.1	0.11	0	0	
3	登堂入室	3	1500	86400	0.07	0.02	0.1	0.12	2	1	
4	了然於胸	4	3000	86400	0.08	0.03	0.1	0.13	2	1	
5	渐入佳境	5	5000	86400	0.09	0.05	0.1	0.14	2	1	
6	驾轻就熟	6	7000	86400	0.1	0.07	0.2	0.15	4	2	
7	豁然贯通	7	15000	86400	0.12	0.09	0.2	0.17	4	2	
8	略有小成 	8	20000	86400	0.14	0.11	0.2	0.19	4	2	
9	出类拔萃	9	30000	86400	0.16	0.13	0.2	0.21	4	2	
10	心领神会	10	50000	86400	0.18	0.15	0.2	0.23	6	3	
11	登峰造极	11	70000	86400	0.2	0.17	0.3	0.26	6	3	
12	深不可测	12	90000	86400	0.22	0.19	0.3	0.29	6	3	
13	绝代宗师	13	110000	86400	0.24	0.21	0.3	0.32	6	3	
14	举世无双	14	130000	86400	0.26	0.23	0.3	0.35	6	3	
15	震古铄今	15	150000	86400	0.28	0.25	0.3	0.38	6	3	
16	技冠群雄	16	170000	86400	0.3	0.27	0.4	0.42	8	4	
17	融会贯通	17	190000	86400	0.32	0.29	0.4	0.46	8	4	
18	随心所欲	18	220000	86400	0.34	0.31	0.4	0.5	8	4	
19	出神入化	19	250000	86400	0.36	0.33	0.4	0.55	8	4	
20	返璞归真	20	300000	86400	0.4	0.35	0.5	0.6	8	4	
21	返璞归真	21	500000	86400	0.42	0.37	0.5	0.65	10	5	
22	返璞归真	22	700000	86400	0.44	0.39	0.5	0.7	10	5	
23	返璞归真	23	900000	86400	0.46	0.41	0.5	0.75	10	5	
24	返璞归真	24	1200000	86400	0.48	0.45	0.5	0.8	10	5	
25	返璞归真	25	1500000	86400	0.5	0.5	0.5	1	15	10	
